Title	Document.URL	Court.Line	Citation	Filed.Date	Summary
Myrick v. WellPoint, Inc.	https://www.westlaw.com/Document/I6255b674280c11e490d4edf60ce7d742/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Seventh Circuit.	764 F.3d 662	August 19, 2014	INSURANCE - Removal. Policyholders failed to demonstrate that remand to state court under Class Action Fairness Act's home-state exception was warranted.
Mountain West Holding Co., Inc. v. Montana	https://www.westlaw.com/Document/Ibb143de03c4711e79253a50aa7145720/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	--- Fed.Appx. ----	May 16, 2017	GOVERNMENT CONTRACTS - Preferences and Set-Asides. State could not rely on anecdotal evidence alone without statistical basis to justify racial classifications in granting preferences in contracting.
Adams v. City of Indianapolis	https://www.westlaw.com/Document/I94ebb8a38db511e3a659df62eba144e8/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Seventh Circuit.	742 F.3d 720	February 04, 2014	LABOR AND EMPLOYMENT - Discrimination. Conclusory allegations were insufficient to state a Title VII disparate impact claim against city.
U.S. v. Hernandez	https://www.westlaw.com/Document/I2581078be3e211ddb6a3a099756c05b7/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Third Circuit.	306 Fed.Appx. 719	January 16, 2009	CRIMINAL JUSTICE - Hobbs Act. Sufficient evidence existed to prove that robbery had de minimis effect on interstate commerce.
Dukes v. Wal-Mart Stores, Inc.	https://www.westlaw.com/Document/If83f3bae513e11dfae65b23e804c3c12/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	603 F.3d 571	April 26, 2010	LABOR AND EMPLOYMENT - Class Actions. District court abused its discretion by certifying plaintiffs' punitive damages claims as a class for equitable relief.
F.T.C. v. QT, Inc.	https://www.westlaw.com/Document/I3959e178ba1a11dc8dba9deb08599717/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Seventh Circuit.	512 F.3d 858	January 03, 2008	COMMERCIAL LAW - Advertising. Existence of placebo effect did not preclude FTC fraud action against manufacturer of allegedly analgesic bracelet.
Noreen v. PharMerica Corporation	https://www.westlaw.com/Document/I70572700667711e69981dc2250b07c82/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Eighth Circuit.	833 F.3d 988	August 19, 2016	LABOR AND EMPLOYMENT - Discrimination. Employer's departure from its own guidelines for reduction in force did not demonstrate that a termination was more likely than not motivated by age.
In re Petrobras Securities	https://www.westlaw.com/Document/Ieaaa6250633911e7b7978f65e9bf93b3/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	862 F.3d 250	July 07, 2017	SECURITIES REGULATION - Class Actions. Questions regarding predominance required remand of investors' securities fraud class action against Brazilian state-owned oil company.
Knight v. Kirby Inland Marine Inc.	https://www.westlaw.com/Document/Idd4e15de09f211dcaf8dafd7ee2b8b26/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fifth Circuit, as amended April 4, 2007	482 F.3d 347	March 19, 2007	PRODUCTS LIABILITY - Evidence. Expert testimony was properly excluded on relevancy grounds in toxic tort action.
Marcus v. PQ Corp.	https://www.westlaw.com/Document/I27c6180442d011e1bd928e1973ff4e60/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Third Circuit.	458 Fed.Appx. 207	January 19, 2012	LABOR AND EMPLOYMENT - Damages. Employees' eligibility for punitive award of liquidated damages did not preclude eligibility for pre-judgment interest.
Natural Resources Defense Council v. U.S. E.P.A.	https://www.westlaw.com/Document/Ic411d3abe1f311e0bc27967e57e99458/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	658 F.3d 200	September 16, 2011	ENVIRONMENTAL LAW - Pesticides. Environmental Protection Agency's pesticide risk assessment was arbitrary and capricious.
Precon Development Corp., Inc. v. Army Corps of Engineers	https://www.westlaw.com/Document/I77be55f6c74911e4b4bafa136b480ad2/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fourth Circuit.	603 Fed.Appx. 149	March 10, 2015	ENVIRONMENTAL LAW - Clean Water. Significant nexus existed to navigable river as required for Corps to exercise jurisdiction over developer's wetlands.
International Brotherhood of Teamsters v. U.S. Department of Transportation	https://www.westlaw.com/Document/Ib1d570605ce911e7bb97edaf3db64019/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	861 F.3d 944	June 29, 2017	TRANSPORTATION - Carriers. FMCSA's report concerning Mexico-domiciled trucking companies' operations in the U.S. was not final agency action.
U.S. v. Schiff	https://www.westlaw.com/Document/Ie3a42810424f11dfa7ada84b8dc24cbf/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Third Circuit.	602 F.3d 152	April 07, 2010	SECURITIES REGULATION - Experts. Methodology of government's expert analyzing three announcements in securities fraud prosecution did not fit issues.
Gottermeyer v. Norstan, Inc.	https://www.westlaw.com/Document/I712a4fd335ea11dcaba8d9d29eb57eff/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Sixth Circuit.	241 Fed.Appx. 284	July 16, 2007	Therese A. Gottermeyer worked for Norstan, Inc., a provider of voice and data technology services, for 21 years. Norstan experienced significant financial losses as the high-tech sector of the U.S. economy underwent a steep downturn beginning in 2001. To improve the company's financial bottom-line, Norstan embarked on a series of...
U.S. v. Whitman	https://www.westlaw.com/Document/I535b1f2b999e11e39ac8bab74931929c/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	555 Fed.Appx. 98	February 19, 2014	CRIMINAL JUSTICE - Instructions. Factual predicate existed for conscious avoidance instruction, in trial for securities fraud based on insider trading.
Core Communications, Inc. v. Verizon Maryland LLC	https://www.westlaw.com/Document/I9cd8e6b8a56411e3a659df62eba144e8/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fourth Circuit.	744 F.3d 310	March 06, 2014	ENERGY AND UTILITIES - Telecommunications. ILEC's failure to disclose information to CLEC did not support state law concealment claim.
Knight v. Kirby Inland Marine Inc.	https://www.westlaw.com/Document/Ia126ce2fd60f11dbb92c924f6a2d2928/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fifth Circuit.	482 F.3d 347	March 19, 2007	PRODUCTS LIABILITY - Evidence. Expert testimony was properly excluded on relevancy grounds in toxic tort action.
Schueneman v. Arena Pharmaceuticals, Inc.	https://www.westlaw.com/Document/I846259009be611e6b27be1b44e7e7e5b/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	840 F.3d 698	October 26, 2016	SECURITIES REGULATION - Fraud. Investor adequately pleaded scienter in support of securities fraud claims arising from public statements regarding corporation's weight-loss drug.
Lemons v. Bradbury	https://www.westlaw.com/Document/Ia57fd37f6a3d11ddb7e583ba170699a5/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	538 F.3d 1098	August 14, 2008	GOVERNMENT - Elections. Oregon's process for verification of referendum petition signatures did not violate voters' constitutional rights.
Pluck v. BP Oil Pipeline Co.	https://www.westlaw.com/Document/Ifa0f87257c7e11e0a8a2938374af9660/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Sixth Circuit.	640 F.3d 671	May 12, 2011	PRODUCTS LIABILITY - Causation. Specific-causation expert's opinion was inadmissible as unreliable in toxic-tort case.
Tiffany (NJ) Inc. v. eBay Inc.	https://www.westlaw.com/Document/I7ed8969d3d9111df9988d233d23fe599/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	600 F.3d 93	April 01, 2010	TRADEMARKS - Internet. Ebay was not liable for contributory trademark infringement for facilitating sale of counterfeit Tiffany merchandise on its website.
McKowan Lowe & Co., Ltd. v. Jasmine, Ltd.	https://www.westlaw.com/Document/I4593e19c4f1111dc8200d0063168b01f/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Third Circuit.	231 Fed.Appx. 216	August 17, 2007	The long history of this case began with a securities fraud class action, brought by shareholders of Jasmine, Ltd., arising out of alleged misrepresentations and omissions in Jasmine's registration statement and prospectus filed in connection with its Initial Public Offering in 1993. Plaintiffs brought claims under Sections 11 and 12(a)(2) of the...
Kennedy v. Cain	https://www.westlaw.com/Document/I6d063f1e57c411e5a807ad48145ed9f1/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fifth Circuit.	624 Fed.Appx. 886	September 09, 2015	Background: Defendant who had been convicted of aggravated rape of child, and who was serving life sentence in state prison, filed petition for federal habeas relief based on alleged violation of his equal protection rights in selection of grand jury foreperson. The United States District Court for the Eastern District of Louisiana, Helen G....
FRANKIE LEWIS, et al., Plaintiffs-Appellants, v. CITY OF DETROIT, et al., Defendant-Appellee. Additional Party Names: Duane McKissic, Gary Sroka, James Suchoski, John Serda	https://www.westlaw.com/Document/Icdc189b0690711e7bb97edaf3db64019/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Sixth Circuit.	--- Fed.Appx. ----	July 14, 2017	Plaintiffs are a group of Detroit police officers who claim that the City of Detroit Police Department (Defendant) discriminated against them, based on their age, in promotion decisions. Plaintiffs filed suit against Defendant asserting a claim of age discrimination in violation of the ADEA and Michigan's comparable statute, the...
Diebel v. L & H Resources, LLC	https://www.westlaw.com/Document/I40084ab3cb4611e191598982704508d1/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Sixth Circuit.	492 Fed.Appx. 523	July 10, 2012	LABOR AND EMPLOYMENT - Discrimination. Bricklayer failed to show that nondiscriminatory reasons for former employer's actions were pretext for age discrimination.
Kaufman v. C.I.R.	https://www.westlaw.com/Document/I1fdf83a8ec6911e4a795ac035416da91/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, First Circuit.	784 F.3d 56	April 24, 2015	TAXATION - Additions to Tax. Taxpayers could not raise reasonable cause defense to gross valuation misstatement penalty.
Officer v. Sedgwick County, Kansas	https://www.westlaw.com/Document/Ic2499eb8c6b011db949e9cd7d7b51ea9/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Tenth Circuit.	226 Fed.Appx. 783	February 27, 2007	LABOR AND EMPLOYMENT - Discrimination. Proffered reasons for terminating a county employee were not a pretext for discrimination.
F.T.C. v. Whole Foods Market, Inc.	https://www.westlaw.com/Document/I08f9554ec2da11ddb5cbad29a280d47c/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, District of Columbia Circuit.	548 F.3d 1028	November 21, 2008	ANTITRUST - Mergers and Acquisitions. In seeking preliminary injunction against merger, FTC demonstrated likelihood of proving supermarket submarket.
Union Pacific R. Co. v. Surface Transp. Bd.	https://www.westlaw.com/Document/I80c11520128611e088699d6fd571daba/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, District of Columbia Circuit.	628 F.3d 597	December 28, 2010	TRANSPORTATION - Railroads. Surface Transportation Board properly decided rates for movements of chlorine.
Teasdale v. New York City Fire Dept., FDNY	https://www.westlaw.com/Document/I4e60ed0e43f911e49488c8f438320c70/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	574 Fed.Appx. 50	September 24, 2014	UPON DUE CONSIDERATION, IT IS HEREBY ORDERED, ADJUDGED, AND DECREED that the judgment of the District Court be AFFIRMED. Plaintiff Deborah Teasdale appeals from an order of the District Court granting summary judgment to defendant New York City Fire Department, FDNY (FDNY) on Teasdale's claims of discrimination based on age in violation of the...
Wendell v. GlaxoSmithKline LLC	https://www.westlaw.com/Document/I169fceb047a411e7bcf2cc0f37ee205d/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	858 F.3d 1227	June 02, 2017	HEALTH - Witnesses. Expert testimony that patient would not have developed rare cancer absent exposure to drugs used to treat irritable bowel disease was admissible.
Cooper v. Brown	https://www.westlaw.com/Document/I39f196ea3e3011de9988d233d23fe599/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	565 F.3d 581	May 11, 2009	The panel has voted to deny the Petition for Rehearing and Petition for Rehearing En Banc. The full court was advised of the petition for rehearing en banc. A judge requested a vote on whether to hear the matter en banc. The matter failed to receive a majority of the votes of the nonrecused active judges in favor of en banc consideration. Fed....
Brown v. Alexander	https://www.westlaw.com/Document/I4963da0988bd11ddb6a3a099756c05b7/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	543 F.3d 94	September 22, 2008	CRIMINAL JUSTICE - Habeas Corpus. State court's rejection of petitioner's Batson claim did not warrant federal habeas relief
W.C. v. Secretary of Health and Human Services	https://www.westlaw.com/Document/I006031705f5111e287a9c52cdddac4f7/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Federal Circuit.	704 F.3d 1352	January 15, 2013	HEALTH - Vaccines. Claimant failed to establish medical theory supporting his claim that influenza vaccine aggravated his multiple sclerosis.
Annex Books, Inc. v. City of Indianapolis, Ind.	https://www.westlaw.com/Document/I1d33024f875c11e381b8b0e9e015e69e/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Seventh Circuit.	740 F.3d 1136	January 24, 2014	CIVIL RIGHTS - Free Speech. Prevention of armed robberies at or near adult bookstores did not support closure of adult bookstores overnight.
American Petroleum Institute v. E.P.A.	https://www.westlaw.com/Document/I8bb300d5d02f11e1b343c837631e1747/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, District of Columbia Circuit.	684 F.3d 1342	July 17, 2012	ENVIRONMENTAL LAW - Clean Air. EPA did not act arbitrarily and capriciously or violate CAA in adopting new, one-hour primary NAAQS for nitrogen dioxide.
Behrend v. Comcast Corp.	https://www.westlaw.com/Document/I4966f5e0cdf911e0a06efc94fb34cdeb/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Third Circuit.	655 F.3d 182	August 23, 2011	ANTITRUST - Class Actions. District Court did not abuse its discretion in certifying consumer class in antitrust suit.
Dukes v. Wal-Mart, Inc.	https://www.westlaw.com/Document/I2e3edb81a7db11dcb6a3a099756c05b7/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	509 F.3d 1168	December 11, 2007	LITIGATION - Class Actions. District court did not abuse its discretion by concluding that claims for declaratory or injunctive relief predominated.
McClain v. Lufkin Industries, Inc.	https://www.westlaw.com/Document/I1d8f4f0ec1d911e093b4f77be4dcecfa/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fifth Circuit.	649 F.3d 374	August 08, 2011	LABOR AND EMPLOYMENT - Attorney Fees. Lodestar calculation for fee award to California law firm was erroneously based on Texas hourly rates.
Realcomp II, Ltd. v. F.T.C.	https://www.westlaw.com/Document/I0365486e605911e0b63e897ab6fa6920/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Sixth Circuit.	635 F.3d 815	April 06, 2011	COMMERCIAL LAW - Unfair Practices. Substantial evidence supported Federal Trade Commission's finding that real estate association's policy had adverse competitive impact.
Carney v. City and County of Denver	https://www.westlaw.com/Document/Ibd23f79c59b011ddb7e583ba170699a5/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Tenth Circuit.	534 F.3d 1269	July 24, 2008	LABOR AND EMPLOYMENT - Discrimination. Black Denver police officer failed to produce sufficient evidence of municipal custom of race discrimination.
Friedman v. City of Highland Park, Illinois	https://www.westlaw.com/Document/Ia8452a14ed0211e4a807ad48145ed9f1/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Seventh Circuit.	784 F.3d 406	April 27, 2015	CIVIL RIGHTS - Right to Bear Arms. City ordinance prohibiting possession of semi-automatic assault weapons did not violate Second Amendment.
PAR Pharmaceutical, Inc. v. TWI Pharmaceuticals, Inc.	https://www.westlaw.com/Document/I2483421e7b2711e4b4bafa136b480ad2/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Federal Circuit.	773 F.3d 1186	December 03, 2014	Background: Patent owner brought action against generic drug manufacturer alleging infringement of its patent claiming methods of using megestrol nanoparticles to increase body mass. After construing patent, 2013 WL 3777028, the United States District Court for the District of Maryland, Catherine C. Blake, J., 2014 WL 694976, ruled that patent was...
Martz v. Commissioner, Social Sec. Admin.	https://www.westlaw.com/Document/Idc4bcb021dd611e6b86bd602cb8781fa/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Eleventh Circuit.	649 Fed.Appx. 948	May 19, 2016	SOCIAL SECURITY - Disability Benefits. Substantial evidence did not support ALJ's decision that Social Security disability insurance claimant could perform light work.
Hill v. Gozani	https://www.westlaw.com/Document/If21a3985a2ff11e090e590fe1745b4c9/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, First Circuit.	651 F.3d 151	May 26, 2011	SECURITIES REGULATION - Rehearing. Decision affirming dismissal of securities fraud action was not inconsistent with subsequent Supreme Court decision, and thus rehearing en banc was not warranted.
NantKwest, Inc. v. Lee	https://www.westlaw.com/Document/I9d3ae190313c11e7bc7a881983352365/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Federal Circuit.	686 Fed.Appx. 864	May 03, 2017	PATENTS - Medical Devices and Procedures. Claims for patent directed to use of specific type of immune cells for treating cancer were invalid as obvious over combination of prior art.
Allen v. Highlands Hosp. Corp.	https://www.westlaw.com/Document/I6aa3a6249f7611ddb6a3a099756c05b7/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Sixth Circuit.	545 F.3d 387	October 21, 2008	LABOR AND EMPLOYMENT - Discrimination. ADEA's administrative exhaustion requirement is not a jurisdictional limitation.
